,Date,Open,High,Low,Close,Time
44,09/30/2022,3633.48,"3,671.44","3,584.13","3,585.62",-0.17534246575342466
45,09/29/2022,3687.01,"3,687.01","3,610.40","3,640.47",-0.1780821917808219
46,09/28/2022,3651.94,"3,736.74","3,640.61","3,719.04",-0.18082191780821918
47,09/27/2022,3686.44,"3,717.53","3,623.29","3,647.29",-0.18356164383561643
48,09/26/2022,3682.72,"3,715.67","3,644.76","3,655.04",-0.1863013698630137
49,09/23/2022,3727.14,"3,727.14","3,647.47","3,693.23",-0.19452054794520549
50,09/22/2022,3782.36,"3,790.90","3,749.45","3,757.99",-0.19726027397260273
51,09/21/2022,3871.4,"3,907.07","3,789.49","3,789.93",-0.2
52,09/20/2022,3875.23,"3,876.01","3,827.54","3,855.93",-0.20273972602739726
53,09/19/2022,3849.91,"3,900.45","3,838.50","3,899.89",-0.2054794520547945
54,09/16/2022,3880.95,"3,880.95","3,837.08","3,873.33",-0.2136986301369863
55,09/15/2022,3932.41,"3,959.14","3,888.28","3,901.35",-0.21643835616438356
56,09/14/2022,3940.73,"3,961.94","3,912.18","3,946.01",-0.2191780821917808
57,09/13/2022,4037.12,"4,037.12","3,921.28","3,932.69",-0.2219178082191781
58,09/12/2022,4083.67,"4,119.28","4,083.67","4,110.41",-0.22465753424657534
59,09/09/2022,4022.94,"4,076.81","4,022.94","4,067.36",-0.2328767123287671
60,09/08/2022,3959.94,"4,010.50","3,944.81","4,006.18",-0.2356164383561644
61,09/07/2022,3909.43,"3,987.89","3,906.03","3,979.87",-0.23835616438356164
62,09/06/2022,3930.89,"3,942.55","3,886.75","3,908.19",-0.2410958904109589
63,09/02/2022,3996.39,"4,018.43","3,906.21","3,924.26",-0.25205479452054796
64,09/01/2022,3936.73,"3,970.23","3,903.65","3,966.85",-0.2547945205479452
65,08/31/2022,4000.67,"4,015.37","3,954.53","3,955.00",-0.25753424657534246
66,08/30/2022,4041.25,"4,044.98","3,965.21","3,986.16",-0.2602739726027397
67,08/29/2022,4034.58,"4,062.99","4,017.42","4,030.61",-0.26301369863013696
68,08/26/2022,4198.74,"4,203.04","4,057.66","4,057.66",-0.27123287671232876
69,08/25/2022,4153.26,"4,200.54","4,147.59","4,199.12",-0.273972602739726
70,08/24/2022,4126.55,"4,156.56","4,119.97","4,140.77",-0.27671232876712326
71,08/23/2022,4133.09,"4,159.77","4,124.03","4,128.73",-0.27945205479452057
72,08/22/2022,4195.08,"4,195.08","4,129.86","4,137.99",-0.2821917808219178
73,08/19/2022,4266.31,"4,266.31","4,218.70","4,228.48",-0.29041095890410956
74,08/18/2022,4273.13,"4,292.53","4,261.98","4,283.74",-0.29315068493150687
75,08/17/2022,4280.4,"4,302.18","4,253.08","4,274.04",-0.2958904109589041
76,08/16/2022,4290.46,"4,325.28","4,277.77","4,305.20",-0.29863013698630136
77,08/15/2022,4269.37,"4,301.79","4,256.90","4,297.14",-0.3013698630136986
78,08/12/2022,4225.02,"4,280.47","4,219.78","4,280.15",-0.3095890410958904
79,08/11/2022,4227.4,"4,257.91","4,201.41","4,207.27",-0.31232876712328766
80,08/10/2022,4181.02,"4,211.03","4,177.26","4,210.24",-0.3150684931506849
81,08/09/2022,4133.11,"4,137.30","4,112.09","4,122.47",-0.3178082191780822
82,08/08/2022,4155.93,"4,186.62","4,128.97","4,140.06",-0.32054794520547947
83,08/05/2022,4115.87,"4,151.58","4,107.31","4,145.19",-0.3287671232876712
84,08/04/2022,4154.85,"4,161.29","4,135.42","4,151.94",-0.3315068493150685
