,maturity,strike,prijs_call,foutenvlag_call,prijs_put,foutenvlag_put,rente,begin_prijs,implied_volatility
0,2022-12-07,4025,52.35,1.75,9.7,0.200000000000001,-0.2398161695720835,3992.942105263157,0.4275086403583024
1,2022-12-07,4030,48.5,1.7000000000000028,10.9,0.1999999999999993,-0.2398161695720835,3992.942105263157,0.4158619175242556
2,2022-12-07,4035,44.55,1.3500000000000014,12.15,0.25,-0.2398161695720835,3992.942105263157,0.40305588609875836
3,2022-12-07,4040,40.95,0.4499999999999957,13.6,0.3000000000000007,-0.2398161695720835,3992.942105263157,0.3918535110271331
4,2022-12-07,4045,37.55,0.4500000000000028,15.2,0.3000000000000007,-0.2398161695720835,3992.942105263157,0.3813083098293544
5,2022-12-07,4050,34.3,0.4000000000000057,17.0,0.3000000000000007,-0.2398161695720835,3992.942105263157,0.3710797243469502
6,2022-12-07,4055,31.3,0.3999999999999986,18.9,0.3000000000000007,-0.2398161695720835,3992.942105263157,0.3618060314932073
7,2022-12-07,4060,28.3,0.3999999999999986,21.0,0.3000000000000007,-0.2398161695720835,3992.942105263157,0.35180222233684894
8,2022-12-07,4065,25.65,0.3500000000000014,23.2,0.3000000000000007,-0.2398161695720835,3992.942105263157,0.3434147793192877
9,2022-12-07,4070,23.05,0.3499999999999978,25.6,0.2999999999999971,-0.2398161695720835,3992.942105263157,0.3345779604889293
10,2022-12-07,4075,20.6,0.2999999999999971,28.2,0.3000000000000007,-0.2398161695720835,3992.942105263157,0.3259516422710487
11,2022-12-07,4080,18.35,0.3499999999999978,31.05,0.4499999999999993,-0.2398161695720835,3992.942105263157,0.31790215408957534
12,2022-12-07,4085,16.3,0.3000000000000007,33.9,0.3999999999999986,-0.2398161695720835,3992.942105263157,0.3104612922351802
13,2022-12-07,4090,14.35,0.25,37.05,0.4500000000000028,-0.2398161695720835,3992.942105263157,0.3028378254272825
14,2022-12-07,4095,12.6,0.3000000000000007,40.3,0.4000000000000057,-0.2398161695720835,3992.942105263157,0.2958615907956323
15,2022-12-07,4100,11.05,0.25,43.95,1.3499999999999943,-0.2398161695720835,3992.942105263157,0.28961957537256033
16,2022-12-07,4105,9.55,0.25,47.2,1.6999999999999955,-0.2398161695720835,3992.942105263157,0.28274138380802893
17,2022-12-07,4110,8.25,0.25,51.2,1.5,-0.2398161695720835,3992.942105263157,0.27668908883669835
18,2022-12-07,4115,7.15,0.25,54.7,1.7999999999999972,-0.2398161695720835,3992.942105263157,0.2716521360076955
19,2022-12-07,4120,6.05,0.25,58.65,1.8500000000000012,-0.2398161695720835,3992.942105263157,0.26541426530130197
20,2022-12-14,4025,85.6,0.5,41.8,0.4000000000000057,-0.0174595206247759,3983.318421052632,0.3824418637157921
